claim_id,claim_text
1,"Rear-end collision in stop-and-go traffic, minor bumper damage"
2,"Water leak damaged kitchen cabinets, homeowner filed claim within 24 hours"
3,"Windstorm blew shingles off roof, neighbor witnessed incident"
4,"Insured reported laptop stolen from locked car, police report attached"
5,"Small business lost inventory after power surge caused freezer failure"
6,"Policyholder seeks reimbursement for luxury watch lost while traveling abroad"
7,"Vehicle vandalized overnight in apartment parking lot"
8,"Broken windshield from highway debris, dashcam footage available"
9,"Hospital stay due to slip and fall at grocery store, medical records provided"
10,"Claim for flooded basement after heavy rainfall, sump pump malfunction noted"
